milestone,epic,titulo,descripcion,prioridad,labels
"Fase 1 — MVP interno","QA y cierre","Documentar manual de usuario para el contador y sus auxiliares","Guía operativa del sistema nuevo","media","fase:1,area:documentacion,prioridad:media"
"Fase 1 — MVP interno","QA y cierre","Checklist anual de actualización de parámetros tributarios","Definir responsable y proceso documentado en el repositorio según recomendación 3 de RIESGOS.md","alta","fase:1,area:documentacion,area:motor-reglas,prioridad:alta"
"Fase 1 — MVP interno","Infraestructura","Desplegar el stack completo en el servidor local del contador","Docker Compose en el hardware definitivo, no solo en entorno de desarrollo","alta","fase:1,area:infraestructura,prioridad:alta"
"Fase 2 — Robustecimiento","Multiusuario","Permitir varios auxiliares trabajando en paralelo con permisos granulares","Extiende el control de acceso por rol de Fase 1","alta","fase:2,area:backend,area:seguridad,prioridad:alta"
"Fase 2 — Robustecimiento","Reportes","Construir reportes de cartera por estado y por valor total en impuestos","Panel gerencial para el contador","media","fase:2,area:frontend,area:backend,prioridad:media"
"Fase 2 — Robustecimiento","Motor de reglas","Panel de administración de parámetros tributarios sin despliegue de código","Actualización anual de UVT tarifas y topes desde la interfaz","alta","fase:2,area:motor-reglas,area:frontend,prioridad:alta"
"Fase 2 — Robustecimiento","Seguridad","Pruebas de carga con datos reales de los 200 declarantes","Validar rendimiento antes de escalar a más usuarios","media","fase:2,area:qa,area:infraestructura,prioridad:media"
"Fase 3 — Portal de clientes","Portal cliente","Diseñar la interfaz de autoservicio para declarantes finales","Reutiliza la misma API siguiendo ADR 0001","alta","fase:3,area:frontend,prioridad:alta"
"Fase 3 — Portal de clientes","Portal cliente","Implementar flujo de revisión y aprobación del contador","El cliente diligencia el contador aprueba antes de presentar","critica","fase:3,area:backend,area:frontend,prioridad:critica"
"Fase 3 — Portal de clientes","Seguridad","Implementar autenticación reforzada con doble factor para clientes","Requisito de seguridad antes de exponer el sistema a internet","critica","fase:3,area:seguridad,prioridad:critica"
"Fase 3 — Portal de clientes","Infraestructura","Evaluar migración de servidor local a hosting con mayor disponibilidad","Solo si el volumen de usuarios lo justifica según ARQUITECTURA.md","baja","fase:3,area:infraestructura,prioridad:baja"
